Content3,BandName,BandLength,SpectrometerType,Grating,Supplier,Remark,Content1,Content2,Class,FC,
,V,380-780nm,"UM, SD, SP, 
MS, SU, SH",,,"UM1280,UM2280","UM: TL03-000-000002
SD: TL03-000-000003","UM: LP570 FOR G2N
SD: LP570 FOR G61A","UM1280(R:3)/UM1380(R:3)/UM1390(R:3)
感度強化版-UM2280(R:3)/UM2380(R:3)/UM2390(R:3)",,
,VA,380-780nm,SE,900g 500nm,OM,,TL03-000-000045,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",SE2030(R:1.3)/SE2120(R:1.3)(Display Detection),,
,VB,380-780nm,HB,900g 550nm,NP,,TL03-000-000045,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",HB2034(R:8)/HB2094(R:8)(Display Detection),,
,V1,300-800nm,"SD, MS",,,"UM1380,UM2380","UM: TL03-000-000056
AM: TL03-000-000040","UM: LP570-W-001-003 For UMx3x0
AM: LP500-Q-006-008 For UMUV",,,
,V2,330-850nm,"UM, SE, SU, AA , AL",600g 500nm(for SE),SH,"UM1280,UM2280",TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",SE2030(R:1.9)/SE2080(R:1.9)/SE2120(R:1.9)(Fluorescence Detection),340-850?(P18),
,V3,400-500nm,SE,2400g VIS(OM 2400 400),OM,,TL03-000-000060,"LP360-Q-007-011C Entrance filter for V3,7,16",SE2030(R:0.5)(Gem Stone Examination),,
,V4,300-850nm,SE,300g 300nm,OM,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",SE2030(R:1.9)/SE2120(R:1.9)(Blood Analysis),,
,,,EE,,,,,,,,
,,,HB,,,,,,HB2034(R:2.3)(Blood Analysis),,
,V4A,300-850nm,SE,600g 300nm,SH,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",SE2030(R:1.9)/SE2120(R:1.9)(Blood Analysis),,
,V4B,300-850nm,"SE, EE, HB",600g 500nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",SE2030(R:1.9)/SE2120(R:1.9)(Blood Analysis),,
,V4C,300-850nm,EE,300g 500nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",,,
,V4D,300-850nm,HB,500g 560nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",,,
,V4E,300-850nm,"HB, PH, SB",500g 330nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",,,
,V5,300-400nm,SE,?,,,,?,,,
,V5A,300-400nm,EE,2400g 400nm,OM,,"TL03-000-000053(用完轉78)
TL03-000-000078","LP360-Q-007-110, For DUV3, FUV2 (SE1xxx)
LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,V5B,300-400nm,EE,2700g 259nm,NP,,TL03-000-000078,"LP360-S-009-040 For DUV3, DUV4, FUV1, FUV2 (SE)",,,
,V6,330-900nm,AM,,,,TL03-000-000040,LP500-Q-006-008 For UMUV,,,
,V7,400-800nm,SE,900g 500nm,OM,,TL03-000-000091,"LP450-S-007-210, For TP1 V22",,,
,V7A,400-800nm,HB,900g 550nm,NP,,TL03-000-000084,"LP450-S-007-070, For TP1 FUV, V2, V4 , TP2 VB",,,
,V8,600-820nm,"SE, EE",1200g 750nm,NP,,TL03-000-000056,LP570-W-001-012 Entrance filter for NIRx (非NIRA),,,
